Country,Date,Total Confirmed Cases,Daily New Cases
Denmark,2020-01-22,0,0.0
Denmark,2020-01-23,0,0.0
Denmark,2020-01-24,0,0.0
Denmark,2020-01-25,0,0.0
Denmark,2020-01-26,0,0.0
Denmark,2020-01-27,0,0.0
Denmark,2020-01-28,0,0.0
Denmark,2020-01-29,0,0.0
Denmark,2020-01-30,0,0.0
Denmark,2020-01-31,0,0.0
Denmark,2020-02-01,0,0.0
Denmark,2020-02-02,0,0.0
Denmark,2020-02-03,0,0.0
Denmark,2020-02-04,0,0.0
Denmark,2020-02-05,0,0.0
Denmark,2020-02-06,0,0.0
Denmark,2020-02-07,0,0.0
Denmark,2020-02-08,0,0.0
Denmark,2020-02-09,0,0.0
Denmark,2020-02-10,0,0.0
Denmark,2020-02-11,0,0.0
Denmark,2020-02-12,0,0.0
Denmark,2020-02-13,0,0.0
Denmark,2020-02-14,0,0.0
Denmark,2020-02-15,0,0.0
Denmark,2020-02-16,0,0.0
Denmark,2020-02-17,0,0.0
Denmark,2020-02-18,0,0.0
Denmark,2020-02-19,0,0.0
Denmark,2020-02-20,0,0.0
Denmark,2020-02-21,0,0.0
Denmark,2020-02-22,0,0.0
Denmark,2020-02-23,0,0.0
Denmark,2020-02-24,0,0.0
Denmark,2020-02-25,0,0.0
Denmark,2020-02-26,0,0.0
Denmark,2020-02-27,1,1.0
Denmark,2020-02-28,1,0.0
Denmark,2020-02-29,3,2.0
Denmark,2020-03-01,4,1.0
Denmark,2020-03-02,4,0.0
Denmark,2020-03-03,6,2.0
Denmark,2020-03-04,10,4.0
Denmark,2020-03-05,10,0.0
Denmark,2020-03-06,23,13.0
Denmark,2020-03-07,23,0.0
Denmark,2020-03-08,35,12.0
Denmark,2020-03-09,90,55.0
Denmark,2020-03-10,262,172.0
Denmark,2020-03-11,442,180.0
Denmark,2020-03-12,615,173.0
Denmark,2020-03-13,801,186.0
Denmark,2020-03-14,827,26.0
Denmark,2020-03-15,864,37.0
Denmark,2020-03-16,914,50.0
Denmark,2020-03-17,977,63.0
Denmark,2020-03-18,1057,80.0
Denmark,2020-03-19,1151,94.0
Denmark,2020-03-20,1255,104.0
Denmark,2020-03-21,1326,71.0
Denmark,2020-03-22,1395,69.0
Denmark,2020-03-23,1450,55.0
Denmark,2020-03-24,1591,141.0
Denmark,2020-03-25,1724,133.0
Denmark,2020-03-26,1877,153.0
Denmark,2020-03-27,2046,169.0
Denmark,2020-03-28,2201,155.0
Finland,2020-01-22,0,0.0
Finland,2020-01-23,0,0.0
Finland,2020-01-24,0,0.0
Finland,2020-01-25,0,0.0
Finland,2020-01-26,0,0.0
Finland,2020-01-27,0,0.0
Finland,2020-01-28,0,0.0
Finland,2020-01-29,1,1.0
Finland,2020-01-30,1,0.0
Finland,2020-01-31,1,0.0
Finland,2020-02-01,1,0.0
Finland,2020-02-02,1,0.0
Finland,2020-02-03,1,0.0
Finland,2020-02-04,1,0.0
Finland,2020-02-05,1,0.0
Finland,2020-02-06,1,0.0
Finland,2020-02-07,1,0.0
Finland,2020-02-08,1,0.0
Finland,2020-02-09,1,0.0
Finland,2020-02-10,1,0.0
Finland,2020-02-11,1,0.0
Finland,2020-02-12,1,0.0
Finland,2020-02-13,1,0.0
Finland,2020-02-14,1,0.0
Finland,2020-02-15,1,0.0
Finland,2020-02-16,1,0.0
Finland,2020-02-17,1,0.0
Finland,2020-02-18,1,0.0
Finland,2020-02-19,1,0.0
Finland,2020-02-20,1,0.0
Finland,2020-02-21,1,0.0
Finland,2020-02-22,1,0.0
Finland,2020-02-23,1,0.0
Finland,2020-02-24,1,0.0
Finland,2020-02-25,1,0.0
Finland,2020-02-26,2,1.0
Finland,2020-02-27,2,0.0
Finland,2020-02-28,2,0.0
Finland,2020-02-29,3,1.0
Finland,2020-03-01,6,3.0
Finland,2020-03-02,6,0.0
Finland,2020-03-03,6,0.0
Finland,2020-03-04,6,0.0
Finland,2020-03-05,12,6.0
Finland,2020-03-06,15,3.0
Finland,2020-03-07,15,0.0
Finland,2020-03-08,23,8.0
Finland,2020-03-09,30,7.0
Finland,2020-03-10,40,10.0
Finland,2020-03-11,59,19.0
Finland,2020-03-12,59,0.0
Finland,2020-03-13,155,96.0
Finland,2020-03-14,225,70.0
Finland,2020-03-15,244,19.0
Finland,2020-03-16,277,33.0
Finland,2020-03-17,321,44.0
Finland,2020-03-18,336,15.0
Finland,2020-03-19,400,64.0
Finland,2020-03-20,450,50.0
Finland,2020-03-21,523,73.0
Finland,2020-03-22,626,103.0
Finland,2020-03-23,700,74.0
Finland,2020-03-24,792,92.0
Finland,2020-03-25,880,88.0
Finland,2020-03-26,958,78.0
Finland,2020-03-27,1041,83.0
Finland,2020-03-28,1167,126.0
Norway,2020-01-22,0,0.0
Norway,2020-01-23,0,0.0
Norway,2020-01-24,0,0.0
Norway,2020-01-25,0,0.0
Norway,2020-01-26,0,0.0
Norway,2020-01-27,0,0.0
Norway,2020-01-28,0,0.0
Norway,2020-01-29,0,0.0
Norway,2020-01-30,0,0.0
Norway,2020-01-31,0,0.0
Norway,2020-02-01,0,0.0
Norway,2020-02-02,0,0.0
Norway,2020-02-03,0,0.0
Norway,2020-02-04,0,0.0
Norway,2020-02-05,0,0.0
Norway,2020-02-06,0,0.0
Norway,2020-02-07,0,0.0
Norway,2020-02-08,0,0.0
Norway,2020-02-09,0,0.0
Norway,2020-02-10,0,0.0
Norway,2020-02-11,0,0.0
Norway,2020-02-12,0,0.0
Norway,2020-02-13,0,0.0
Norway,2020-02-14,0,0.0
Norway,2020-02-15,0,0.0
Norway,2020-02-16,0,0.0
Norway,2020-02-17,0,0.0
Norway,2020-02-18,0,0.0
Norway,2020-02-19,0,0.0
Norway,2020-02-20,0,0.0
Norway,2020-02-21,0,0.0
Norway,2020-02-22,0,0.0
Norway,2020-02-23,0,0.0
Norway,2020-02-24,0,0.0
Norway,2020-02-25,0,0.0
Norway,2020-02-26,1,1.0
Norway,2020-02-27,1,0.0
Norway,2020-02-28,6,5.0
Norway,2020-02-29,15,9.0
Norway,2020-03-01,19,4.0
Norway,2020-03-02,25,6.0
Norway,2020-03-03,32,7.0
Norway,2020-03-04,56,24.0
Norway,2020-03-05,87,31.0
Norway,2020-03-06,108,21.0
Norway,2020-03-07,147,39.0
Norway,2020-03-08,176,29.0
Norway,2020-03-09,205,29.0
Norway,2020-03-10,400,195.0
Norway,2020-03-11,598,198.0
Norway,2020-03-12,702,104.0
Norway,2020-03-13,996,294.0
Norway,2020-03-14,1090,94.0
Norway,2020-03-15,1221,131.0
Norway,2020-03-16,1333,112.0
Norway,2020-03-17,1463,130.0
