Country,Date,Cases
Denmark,1/22/20,0
Finland,1/22/20,0
Norway,1/22/20,0
Sweden,1/22/20,0
Denmark,1/23/20,0
Finland,1/23/20,0
Norway,1/23/20,0
Sweden,1/23/20,0
Denmark,1/24/20,0
Finland,1/24/20,0
Norway,1/24/20,0
Sweden,1/24/20,0
Denmark,1/25/20,0
Finland,1/25/20,0
Norway,1/25/20,0
Sweden,1/25/20,0
Denmark,1/26/20,0
Finland,1/26/20,0
Norway,1/26/20,0
Sweden,1/26/20,0
Denmark,1/27/20,0
Finland,1/27/20,0
Norway,1/27/20,0
Sweden,1/27/20,0
Denmark,1/28/20,0
Finland,1/28/20,0
Norway,1/28/20,0
Sweden,1/28/20,0
Denmark,1/29/20,0
Finland,1/29/20,1
Norway,1/29/20,0
Sweden,1/29/20,0
Denmark,1/30/20,0
Finland,1/30/20,1
Norway,1/30/20,0
Sweden,1/30/20,0
Denmark,1/31/20,0
Finland,1/31/20,1
Norway,1/31/20,0
Sweden,1/31/20,1
Denmark,2/1/20,0
Finland,2/1/20,1
Norway,2/1/20,0
Sweden,2/1/20,1
Denmark,2/2/20,0
Finland,2/2/20,1
Norway,2/2/20,0
Sweden,2/2/20,1
Denmark,2/3/20,0
Finland,2/3/20,1
Norway,2/3/20,0
Sweden,2/3/20,1
Denmark,2/4/20,0
Finland,2/4/20,1
Norway,2/4/20,0
Sweden,2/4/20,1
Denmark,2/5/20,0
Finland,2/5/20,1
Norway,2/5/20,0
Sweden,2/5/20,1
Denmark,2/6/20,0
Finland,2/6/20,1
Norway,2/6/20,0
Sweden,2/6/20,1
Denmark,2/7/20,0
Finland,2/7/20,1
Norway,2/7/20,0
Sweden,2/7/20,1
Denmark,2/8/20,0
Finland,2/8/20,1
Norway,2/8/20,0
Sweden,2/8/20,1
Denmark,2/9/20,0
Finland,2/9/20,1
Norway,2/9/20,0
Sweden,2/9/20,1
Denmark,2/10/20,0
Finland,2/10/20,1
Norway,2/10/20,0
Sweden,2/10/20,1
Denmark,2/11/20,0
Finland,2/11/20,1
Norway,2/11/20,0
Sweden,2/11/20,1
Denmark,2/12/20,0
Finland,2/12/20,1
Norway,2/12/20,0
Sweden,2/12/20,1
Denmark,2/13/20,0
Finland,2/13/20,1
Norway,2/13/20,0
Sweden,2/13/20,1
Denmark,2/14/20,0
Finland,2/14/20,1
Norway,2/14/20,0
Sweden,2/14/20,1
Denmark,2/15/20,0
Finland,2/15/20,1
Norway,2/15/20,0
Sweden,2/15/20,1
Denmark,2/16/20,0
Finland,2/16/20,1
Norway,2/16/20,0
Sweden,2/16/20,1
Denmark,2/17/20,0
Finland,2/17/20,1
Norway,2/17/20,0
Sweden,2/17/20,1
Denmark,2/18/20,0
Finland,2/18/20,1
Norway,2/18/20,0
Sweden,2/18/20,1
Denmark,2/19/20,0
Finland,2/19/20,1
